NUM_ENT,NOM_ENT,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985
1,Aguascalientes,PAN,PAN,PAN,PAN,PAN,PAN,PRI,PRI,PRI,PRI,PRI,PRI,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI
2,Baja California,MORENA,MORENA,MORENA,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PRI,PRI,PRI,PRI,PRI
3,Baja California Sur,MORENA,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PRD,PRD,PRD,PRD,PRD,PRD,PRD,PRD,PRD,PRD,PRD,PRD,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI
4,Campeche,MORENA,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI
5,Coahuila de Zaragoza,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI
6,Colima,MORENA,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI
7,Chiapas,MORENA,MORENA,MORENA,MORENA,MORENA,PVEM,PVEM,PVEM,PVEM,PVEM,PRD,PRD,PRD,PRD,PRD,PRD,PRD,PRD,PRD,PRD,PRD,PRD,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI
8,Chihuahua,PAN,PAN,PAN,PAN,PAN,PAN,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PAN,PAN,PAN,PAN,PAN,PAN,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI
9,Ciudad de México,MORENA,MORENA,MORENA,MORENA,PRD,PRD,PRD,PRD,PRD,PRD,PRD,PRD,PRD,PRD,PRD,PRD,PRD,PRD,PRD,PRD,PRD,PRD,PRD,PRD,PRD,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI
10,Durango,PAN,PAN,PAN,PAN,PAN,PAN,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI
11,Guanajuato,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PRI,PRI,PRI,PRI,PRI,PRI,PRI
12,Guerrero,MORENA,PRI,PRI,PRI,PRI,PRI,PRI,PRD,PRD,PRD,PRD,PRD,PRD,PRD,PRD,PRD,PRD,PRD,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI
13,Hidalgo,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI
14,Jalisco,MC,MC,MC,MC,PRI,PRI,PRI,PRI,PRI,PRI,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI
15,México,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI
16,Michoacán de Ocampo,MORENA,PRD,PRD,PRD,PRD,PRD,PRD,PRI,PRI,PRI,PRI,PRD,PRD,PRD,PRD,PRD,PRD,PRD,PRD,PRD,PRD,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI
17,Morelos,PES,PES,PES,PES,PRD,PRD,PRD,PRD,PRD,PRD,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI
18,Nayarit,MORENA,PAN,PAN,PAN,PAN,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PAN,PAN,PAN,PAN,PAN,PAN,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI
19,Nuevo Leon,MC,INDEPENDIENTE,INDEPENDIENTE,INDEPENDIENTE,INDEPENDIENTE,INDEPENDIENTE,INDEPENDIENTE,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PAN,PAN,PAN,PAN,PAN,PAN,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI
20,Oaxaca,PRI,PRI,PRI,PRI,PRI,PRI,MC,MC,MC,MC,MC,MC,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI
21,Puebla,MORENA,MORENA,MORENA,MORENA,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI
22,Querétaro,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PRI,PRI,PRI,PRI,PRI,PRI,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI
23,Quintana Roo,PAN,PAN,PAN,PAN,PAN,PAN,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PAN,PAN,PAN,PAN,PAN,PAN,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI
24,San Luis Potosí,PVEM,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PAN,PAN,PAN,PAN,PAN,PAN,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI
25,Sinaloa,MORENA,PRI,PRI,PRI,PRI,PRI,PAN,PAN,PAN,PAN,PAN,PAN,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI
26,Sonora,MORENA,PRI,PRI,PRI,PRI,PRI,PRI,PAN,PAN,PAN,PAN,PAN,PAN,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI
27,Tabasco,MORENA,MORENA,MORENA,MORENA,PRD,PRD,PRD,PRD,PRD,PRD,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI
28,Tamaulipas,PAN,PAN,PAN,PAN,PAN,PAN,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI
29,Tlaxcala,MORENA,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PAN,PAN,PAN,PAN,PAN,PAN,PRD,PRD,PRD,PRD,PRD,PRD,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI
30,Veracruz de Ignacio de la Llave,MORENA,MORENA,MORENA,MORENA,PAN,PAN,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI
31,Yucatán,PAN,PAN,PAN,PAN,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PAN,PAN,PAN,PAN,PAN,PAN,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI
32,Zacatecas,MORENA,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRD,PRD,PRD,PRD,PRD,PRD,PRD,PRD,PRD,PRD,PRD,PRD,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI